timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T08:59:09.652959,40.5,94.1,55.9,253,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:15.441066,34.3,92.0,55.9,253,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:20.863328,59.4,93.7,55.9,263,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:26.349415,51.9,92.0,55.9,260,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:31.763118,78.0,90.6,55.9,259,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:37.163278,78.0,90.6,55.9,259,0,0,0,0,0,0,0,0,0
2026-09-22T08:59:42.574838,77.5,91.2,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:08:02.992286,89.3,89.1,55.9,243,2149,1908,40,1,9,1,0,0,0
2026-09-22T10:08:08.348054,89.3,89.1,55.9,243,0,1,0,0,0,0,0,0,0
2026-09-22T10:08:14.178786,54.7,90.7,55.9,246,2,0,0,0,0,0,0,0,0
2026-09-22T10:08:19.762125,40.2,91.6,55.9,247,1,0,0,0,0,0,0,0,0
2026-09-22T10:08:25.518651,40.2,91.6,55.9,247,0,2,0,0,0,0,0,0,0
2026-09-22T10:08:30.957107,49.6,91.4,55.9,247,0,0,0,0,0,0,0,0,0
2026-09-22T10:08:36.603205,80.4,89.0,55.9,243,0,5,0,0,0,0,0,0,0
2026-09-22T10:08:43.002733,89.5,91.1,55.9,243,0,0,0,0,0,0,0,0,0
2026-09-22T10:08:48.632918,44.3,91.5,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:08:54.101893,44.3,91.5,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:08:59.497266,71.3,91.8,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:04.797781,49.2,90.9,55.9,243,0,1,0,0,0,0,0,0,0
2026-09-22T10:09:10.285868,50.4,92.2,55.9,244,1,0,0,0,0,0,0,0,0
